,X,Y
532,149,5
533,148,25
534,147,30
535,146,23
536,145,5
537,144,18
538,143,32
539,142,9
540,141,5
541,140,5
542,139,15
543,138,33
544,137,33
545,136,9
546,135,5
547,134,5
548,133,19
549,132,5
550,131,13
551,130,29
552,129,5
553,128,44
554,127,28
555,126,5
556,125,18
557,124,40
558,123,5
559,122,30
560,121,4
561,120,1
562,119,35
563,118,8
564,117,1
565,116,1
566,115,28
567,114,5
568,113,5
569,112,7
570,111,5
571,110,1
572,109,1
573,108,1
574,107,14
575,106,1
576,105,1
577,104,1
578,103,99
579,102,1
580,101,1
581,100,1
582,99,1
583,98,1
584,97,1
585,96,1
586,95,1
587,94,1
588,93,1
589,92,1
590,91,1
591,90,1
592,89,1
593,88,1
594,87,1
595,86,1
596,85,1
597,84,1
598,83,350
599,82,1
600,81,318
601,80,1
602,79,373
603,78,372
604,77,1
605,76,398
606,75,356
607,74,1
608,73,1
609,72,1
610,71,1
611,70,1
612,69,1
613,68,1
614,67,1
615,66,6355
616,65,1
617,64,1
618,63,1
619,62,1
620,61,1
621,60,1
622,59,1
623,58,1
624,57,450
625,56,461
626,55,1
627,54,483
628,53,1
629,52,1
630,51,1
631,50,1
632,49,490
633,48,462
634,47,486
635,46,494
636,45,496
637,44,480
638,43,461
639,42,487
640,41,476
641,40,463
642,39,486
643,38,471
644,37,470
645,36,473
646,35,1
647,34,472
648,33,480
649,32,474
650,31,1
651,30,1
652,29,1
653,28,461
654,27,1
655,26,1
656,25,43
657,24,35
658,23,60
659,22,70
660,21,59
661,20,62
662,19,63
663,18,70
664,17,69
665,16,68
666,15,72
667,14,74
668,13,73
669,12,75
670,11,72
671,10,73
672,9,73
673,8,71
674,7,70
675,6,68
676,5,67
677,4,65
678,3,66
679,2,65
680,1,64
681,0,63
682,-1,63
683,-2,62
684,-3,61
685,-4,61
686,-5,61
687,-6,61
688,-7,62
689,-8,61
690,-9,62
691,-10,62
692,-11,62
693,-12,62
694,-13,62
695,-14,62
696,-15,63
697,-16,64
698,-17,64
699,-18,64
700,-19,64
701,-20,64
702,-21,64
703,-22,63
704,-23,62
705,-24,63
706,-25,63
707,-26,62
708,-27,63
709,-28,63
710,-29,62
711,-30,60
712,-31,59
713,-32,58
714,-33,59
715,-34,60
716,-35,61
717,-36,62
718,-37,63
719,-38,66
720,-39,67
721,-40,67
722,-41,67
723,-42,67
724,-43,68
725,-44,66
726,-45,66
727,-46,67
728,-47,67
729,-48,66
730,-49,68
731,-50,67
732,-51,67
733,-52,68
734,-53,66
735,-54,68
736,-55,68
737,-56,68
738,-57,68
739,-58,68
740,-59,69
741,-60,69
742,-61,69
743,-62,69
744,-63,68
745,-64,69
746,-65,69
747,-66,68
748,-67,68
749,-68,68
750,-69,68
751,-70,69
752,-71,68
753,-72,68
754,-73,69
755,-74,69
756,-75,69
757,-76,69
758,-77,68
759,-78,69
760,-79,68
761,-80,69
762,-81,68
763,-82,68
764,-83,69
765,-84,69
766,-85,70
767,-86,71
768,-87,69
769,-88,70
770,-89,69
771,-90,68
772,-91,67
773,-92,66
774,-93,65
775,-94,65
776,-95,64
777,-96,64
778,-97,64
779,-98,65
780,-99,65
781,-100,66
782,-101,65
783,-102,65
784,-103,65
785,-104,65
786,-105,65
787,-106,65
788,-107,65
789,-108,65
790,-109,65
791,-110,66
792,-111,65
793,-112,66
794,-113,66
795,-114,66
796,-115,66
797,-116,67
798,-117,66
799,-118,67
800,-119,67
801,-120,67
802,-121,68
803,-122,71
804,-123,73
805,-124,74
806,-125,76
807,-126,79
808,-127,80
809,-128,85
810,-129,90
811,-130,105
812,-131,113
813,-132,118
814,-133,116
815,-134,123
816,-135,130
817,-136,131
818,-137,123
819,-138,127
820,-139,118
821,-140,122
822,-141,119
823,-142,120
824,-143,113
825,-144,117
826,-145,109
827,-146,113
828,-147,109
829,-148,107
830,-149,110
831,-150,109
832,-151,108
833,-152,104
834,-153,106
835,-154,104
836,-155,111
837,-156,110
838,-157,103
839,-158,110
840,-159,107
841,-160,104
842,-161,104
843,-162,107
844,-163,97
845,-164,94
846,-165,89
847,-166,83
848,-167,79
849,-168,75
850,-169,74
851,-170,75
852,-171,72
853,-172,69
854,-173,66
855,-174,65
856,-175,64
857,-176,65
858,-177,62
859,-178,62
860,-179,63
861,-180,62
862,-181,63
863,-182,63
864,-183,62
865,-184,62
866,-185,63
867,-186,62
868,-187,62
869,-188,62
870,-189,63
871,-190,63
872,-191,63
873,-192,63
874,-193,63
875,-194,63
876,-195,63
877,-196,63
878,-197,64
879,-198,65
880,-199,64
881,-200,65
882,-201,66
883,-202,66
884,-203,67
885,-204,70
886,-205,71
887,-206,76
888,-207,79
889,-208,82
890,-209,83
891,-210,83
892,-211,84
893,-212,83
894,-213,82
895,-214,84
896,-215,82
897,-216,83
898,-217,82
899,-218,82
900,-219,82
901,-220,83
902,-221,81
903,-222,82
904,-223,81
905,-224,81
906,-225,80
907,-226,81
908,-227,81
909,-228,80
910,-228,81
911,-229,80
912,-229,80
913,-230,81
914,-230,82
915,-231,80
916,-231,81
917,-232,81
918,-232,80
919,-233,81
920,-233,81
921,-234,81
922,-234,82
923,-235,82
924,-235,82
925,-236,83
926,-236,82
927,-237,81
928,-237,82
929,-238,81
930,-238,82
931,-239,81
932,-239,82
933,-240,81
934,-240,79
935,-241,84
936,-241,83
937,-242,69
938,-242,77
939,-243,67
940,-243,73
941,-244,73
942,-244,73
943,-245,77
944,-245,65
945,-246,62
946,-246,56
947,-247,73
948,-247,67
949,-248,63
950,-248,67
951,-249,63
952,-249,61
953,-250,51
954,-250,50
955,-250,66
956,-251,53
957,-251,50
958,-251,58
959,-252,49
960,-252,54
961,-252,48
962,-253,48
963,-253,50
964,-253,54
965,-254,42
966,-254,56
967,-254,56
968,-254,55
969,-255,51
970,-255,52
971,-255,53
972,-255,53
973,-255,45
974,-256,56
975,-256,55
976,-256,53
977,-256,54
978,-256,54
979,-256,55
980,-256,48
981,-256,51
982,-255,52
983,-255,56
984,-255,53
985,-255,54
986,-255,43
987,-254,51
988,-254,50
989,-254,52
990,-254,55
991,-253,51
992,-253,48
993,-253,56
994,-252,47
995,-252,52
996,-252,50
997,-251,49
998,-251,44
999,-251,57
1000,-250,40
1001,-250,60
1002,-249,67
1003,-249,63
1004,-249,53
1005,-248,59
1006,-248,54
1007,-247,62
1008,-247,55
1009,-246,33
1010,-246,50
1011,-245,56
1012,-245,68
1013,-244,68
1014,-244,72
1015,-243,68
1016,-243,72
1017,-242,66
1018,-242,79
1019,-241,72
1020,-241,73
1021,-240,77
1022,-240,80
1023,-239,80
1024,-239,80
1025,-238,79
1026,-238,81
1027,-237,80
1028,-237,80
1029,-236,79
1030,-236,81
1031,-235,80
1032,-235,79
1033,-234,79
1034,-234,80
1035,-233,79
1036,-233,81
1037,-232,77
1038,-232,80
1039,-231,79
1040,-231,80
1041,-230,78
1042,-230,79
1043,-229,79
1044,-229,79
1045,-228,79
1046,-228,79
1047,-227,79
1048,-226,79
1049,-225,79
1050,-224,79
1051,-223,80
1052,-222,80
1053,-221,80
1054,-220,80
1055,-219,81
1056,-218,81
1057,-217,80
1058,-216,80
1059,-215,81
1060,-214,80
1061,-213,80
1062,-212,81
1063,-211,81
1064,-210,80
1065,-209,82
1066,-208,80
1067,-207,80
1068,-206,77
1069,-205,74
1070,-204,71
1071,-203,68
1072,-202,66
1073,-201,64
1074,-200,64
1075,-199,64
1076,-198,64
1077,-197,64
1078,-196,62
1079,-195,62
1080,-194,62
1081,-193,63
1082,-192,62
1083,-191,63
1084,-190,62
1085,-189,63
1086,-188,62
1087,-187,62
1088,-186,62
1089,-185,62
1090,-184,62
1091,-183,62
1092,-182,62
1093,-181,62
1094,-180,61
1095,-179,62
1096,-178,61
